Atributo pavadinimas,Kiekis,"Trūkstamos reikšmės, %",Kardinalumas,Minimali reikšmė,Maksimali reikšmė,1-asis  kvartilis,3-iasis  kvartilis,Vidurkis,Mediana,Standartinis nuokrypis
song_popularity,18833,0.0,101,0.0,100.0,41.0,69.0,53.0,56.0,21.1
song_duration_ms,18833,0.0,11770,12000.0,1799346.0,184339.5,242853.5,218213.93,211306.0,59888.56
acousticness,18833,0.0,3209,1.02e-06,0.996,0.0241,0.424,0.26,0.132,0.29
danceability,18833,0.0,849,0.0,0.987,0.5329999999999999,0.748,0.63,0.645,0.16
energy,18833,0.0,1132,0.00107,0.9990000000000001,0.51,0.815,0.64,0.674,0.21
key,18833,0.0,12,0.0,11.0,3.0,9.0,5.29,6.0,3.26
liveness,18833,0.0,1425,0.0109,0.986,0.0929,0.221,0.18,0.122,0.14
loudness,18833,0.0,8416,-38.768,1.585,-9.045,-4.908,-7.45,-6.557,3.83
speechiness,18833,0.0,1224,0.0,0.941,0.0378,0.11900000000000001,0.1,0.0555,0.1
tempo,18833,0.0,12111,0.0,242.31799999999998,98.37200000000001,139.931,121.07,120.01299999999999,28.69
audio_valence,18833,0.0,1246,0.0,0.9840000000000001,0.335,0.725,0.53,0.527,0.24
